Item,Description,Type,Asset Account,COGS Account,Cost,Gross Cost,Account,Price,Gross Price,Tax Code,Barcode,Preferred Supplier
Sale of Assets,Sale of Assets,Service,,,0,0,2036 · Profit on Sale of NCA,0,0,GST,,
Electricity Refund,,Service,,,0,0,1490 · Electricity:1495 · 535 BHD,0,0,GST,,
Ute Rental,,Service,,,0,0,1435 · Ute Rental - Craig Thomas,0,0,GST,,
P Aluminium Slats,Supply & Install,Service,,,0,0,1423 · Sales - Aluminium Slats,0,0,GST,,
P Aluminium Slats:Aluminium Slats Final,Final Payment on Aluminium Slats.,Service,,,0,0,1423 · Sales - Aluminium Slats,0,0,GST,,
P Aluminium Slats:Aluminium Slats Deposit,Initial deposit on Aluminium Slats.,Service,,,0,0,1423 · Sales - Aluminium Slats,0,0,GST,,
National Tiles,,Service,,,0,0,1427 · Sales - National Tiles,0,0,GST,,
National Tiles:Tradeshop,,Service,,,0,0,1427 · Sales - National Tiles,0,0,GST,,
National Tiles:Builders Tiles,,Service,,,0,0,1427 · Sales - National Tiles,0,0,GST,,
National Tiles:Retail Tiles,,Service,,,0,0,1427 · Sales - National Tiles,0,0,GST,,
Noosa,,Service,,,0,0,1414 · Sales- Noosa,0,0,GST,,
Noosa:Flooring Builders,Supply and Install,Service,,,0,0,1414 · Sales- Noosa,0,0,GST,,
Noosa:Flooring,Supply and Install,Service,,,0,0,1414 · Sales- Noosa,0,0,GST,,
credit card surcharge,Credit Card Surcharge,Service,,,0,0,1410 · Sales,0,0,GST,,
petty cash funds,cash from tin,Service,,,0,0,1410 · Sales,0,0,GST,,
Flooring Shop,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:Aaron,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:Jeff,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:Real Estate Flooring,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Flooring Shop:Commercial Builders,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:Craig,Supply & Install-,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:George,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Flooring Shop:Residential Builders,Supply & Install,Service,,,0,0,1422 · Sales-Carpet,0,0,GST,,
Early Payment Discount,1.5% Early payment Discount,Service,,,0,0,1400 · Discounts to Customers,0,0,GST,,
Garages,Supply & Install,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Garages:Garage- 4th Payment,Fourth payment on Garage due 3 days prior to delivery of materials.,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Garages:Garage- 3rd Payment,Third payment on Garage due on completion of concrete slab.,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Garages:Garage- Final payment,Final payment on Garage on completion by installer.,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Garages:Garage- Initial deposit,Initial deposit on Garage to lodge to council.,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Garages:Garage- 2nd Payment,Second payment on Garage to order materials.,Service,,,0,0,1426 · Sales - Garages,0,0,GST,,
Patio,Supply & install,Service,,,0,0,1428 · Sales - Patios,0,0,GST,,
Patio:Patio- Final payment,Final payment on Outback Patio.,Service,,,0,0,1428 · Sales - Patios,0,0,GST,,
Patio:Patio- Initial deposit,Initial deposit on Outback Patio.,Service,,,0,0,1428 · Sales - Patios,0,0,GST,,
Patio:Patio- Second payment,Second payment on Outback Patio.,Service,,,0,0,1428 · Sales - Patios,0,0,GST,,
Security,Supply & install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Security:Security,Supply & Install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Security:Security:Craig,Supply & Install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Security:Security:Brad,Supply & Install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Security:Security:Collin,Supply & Install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Security:Security:Graham,Supply & Install,Service,,,0,0,1429 · Sales - Security,0,0,GST,,
Window Furnishings,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Real Estate Blinds,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Roller Shutter,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Roller Shutter:Craig,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Roller Shutter:Graham,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Roller Shutter:Collin,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Roller Shutter:Brad,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Shutters,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Shutters:Craig,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Shutters:Brad,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Shutters:Collin,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Shutters:Graham,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:External Coverings,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:External Coverings:Craig,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:External Coverings:Brad,Supply & Install-,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:External Coverings:Collin,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:External Coverings:Graham,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings:Craig,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings:Brad,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings:Builders,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings:Collin,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
Window Furnishings:Internal Coverings:Graham,Supply & Install,Service,,,0,0,1424 · Sales - Blinds,0,0,GST,,
miscellaneous Income,,Non-inventory Part,,,0,0,1236 · Rental Bond - Lower Mountain Ro,0,0,,,
Paid Parental Leave,PPL Funds Received,Other Charge,,1931 · Payroll Expenses:1954 · Staff Wages:1957 · PPL Payments Received,0,0,1931 · Payroll Expenses:1954 · Staff Wages:1957 · PPL Payments Received,0,0,,,Services Australia
Interest Income,,Other Charge,,,0,0,1402 · Interest & Fee Rebates,0,0,NCF,,
Turnover Rebate,Income received from Newfurn Floorings based on turnover figures - treated as separate sale for ...,Other Charge,,,0,0,1407 · Rebate,0,0,NCG,,
Bad Debt,,Other Charge,,,0,0,1468 · Bad Debts Written Off,0,0,,,
Early payment Discount *,Early payment discount,Discount,,,0,0,1401 · Early Payment Discounts,0,0,GST,,
