Bill number,Supplier,Transaction date,Due date,Supplier invoice number,Amounts are,Item,Description,Account No.,No. of Unit,Unit Price,Discount %,Amount ($),Tax code,Tax amount ($),Job No.,Job name
378705,C & L Kertland Pty Ltd,########,########,378705,Tax exclusive,,Monthly Rebate,5-1445,1,"1,363.64",,"1,363.64",GST,136.36,,
378706,Lyn Hill,########,########,378706,Tax exclusive,,Dividend January,3-1396,1,"15,000.00",,"15,000.00",N-T,0,,
378707,Stephen Hill,########,########,378707,Tax exclusive,,January Dividend,3-1396,1,"15,000.00",,"15,000.00",N-T,0,,
378708,BEMEKO Pty Ltd,########,########,378708,Tax exclusive,,Dividend January,3-1396,1,"10,000.00",,"10,000.00",FRE,0,,
378709,UHI Investments Pty Ltd,########,########,378709,Tax exclusive,,Dividend January,3-1396,1,"10,000.00",,"10,000.00",N-T,0,,
378710,S & L Hill Super Fund - Macquarie Super,########,########,378710,Tax exclusive,,Rent January,6-1985,1,"6,345.45",,"6,345.45",GST,634.55,,
378710,S & L Hill Super Fund - Macquarie Super,########,########,378710,Tax exclusive,,Rent January,6-1981,1,"15,000.00",,"15,000.00",GST,"1,500.00",,
379345,Office of State Revenue,########,########,379345,Tax exclusive,,"December Return 2023-2024 Taxable Wages $380805 (Employee $363533, Super $0, Subcontractors $17252)",6-1960,1,"11,677.39",,"11,677.39",FRE,0,,
75,Dundowran Floorcoverings,########,########,75,Tax exclusive,,Flooring installation,5-1445,1,"1,343.07",,"1,343.07",GST,134.31,,
76,Dundowran Floorcoverings,########,########,76,Tax exclusive,,Flooring installation,5-1445,1,"1,190.35",,"1,190.35",GST,119.03,,
674,S & S Rhind Super Fund,########,########,674,Tax exclusive,,Lot 1,6-1987,1,"3,692.64",,"3,692.64",GST,369.26,,
673,S & S Rhind Super Fund,########,########,673,Tax exclusive,,Lot 2,6-1978,1,"4,019.37",,"4,019.37",GST,401.94,,
672,S & S Rhind Super Fund,########,########,672,Tax exclusive,,Lot 3,6-1978,1,"4,152.22",,"4,152.22",GST,415.22,,
996404691,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 121159KM,6-1823,1,236.36,,236.36,GST,23.64,,
