,Debit,Credit
Aussie Home Additions,0,
Bad Debts,0,
Choices Flooring Noosaville,49288.22,
Holden Card - M.Card,0,
Long Service Leave Account,268.76,
Mr. Garages,0,
NAB Qantas Business Card,,32719.18
NAB Visa Platinum,0,
National Visa Mastercard,0,
Petty Cash,0,
Petty Cash- Noosaville,150,
Petty Cash- Universal,493,
Term Deposit 2,250000,
Term Deposit 2019,0,
Term Deposit 2019 #2,0,
Term Deposit 3,500000,
Term Deposit 4,1000000,
Term Deposit Account,0,
Term Deposit Macquarie Bank,250000,
UHI 2nd Account,225330.45,
Universal Home Improvements Acc,990506.27,
Visa - National Gold Card,0,
Universal Patio,0,
Accounts Receivable,538863.98,
Accounts Receivable other,0,
Sundry Debtors,152133,
Accounts Receivable - Other,0,
CGT Rollover - Universal Patio,0,
Deposits Paid,0,
Loan to UHI Investments,800000,
Mr  Garages,0,
Provision for Doubtful Debts,0,
Rental Bond - Lower Mountain Ro,6325,
Rental Bond - Noosa,9827,
Undeposited Funds,80409.74,
Property Improvements at Cost,207432.83,
Property Improvements at Cost:Less Accumulated Depreciation,,419
Buildings - Cnr Main St & Old M,0,
Buildings - Cnr Old Mbro & Main,0,
Business- Choices Carpet Noosa,134335.86,
Business- Choices Carpet Noosa:Furniture and Fittings,0,
Business- Choices Carpet Noosa:Furniture and Fittings:Less Accumulated Depreciation,0,
Business- Choices Carpet Noosa:Plant & Equipment < $1000,0,
Business- Choices Carpet Noosa:Plant and Equipment >$1000,0,
Business - National Tiles:Furniture and Fittings,0,
Industrial Land,0,
Land - Cnr Main Street & Old Mb,0,
Land & Buildings - Sportsfront,0,
Low Value Pool,480.35,
Motor Vehicles at Cost,1287027.92,
Motor Vehicles at Cost:Less Accumulated Depreciation,,1127115.52
Number Plates,15786.36,
Office Equipment,16454.48,
Office Equipment:Less Accumulated Depn,,16454.48
Plant & Equipment > $1000,0,
Plant and Equipment < $1000,0,
Plant and Equipment at Cost,12808.81,
Plant and Equipment at Cost:Less Accumulated Depreciation,,12808.81
Shares for Choices H/Bay,4000,
Small Business General Pool,0,
Aussie Home Additions.,0,
Aussie Home Additions1,0,
Borrowing Costs,0,
Borrowing Costs:Less amortisation,0,
Goodwill - Aussie Home Addition,10325,
Kia - Instalation Van,0,
Loan-Shane Hill,0,
Loan - Euroloc,0,
Loan to Crazy Hill,105000,
Sportsfront - Hervey Bay,0,
Stock,350529.09,
Universal Fencing,0,
Work in Progress,0,
Accounts Payable,,721024.98
Credit Cards,0,
Payroll Tax Payable,,45192.09
4 x 4 Repayments,0,
Accounts Payable - Other,0,
Accrued Charges Payroll Tax,0,
Deposits in Advance,0,
GST Adjustments,0,
GST Clearing Account,,155793
GST Paid,0,
Hire Purchase - Hino,0,
Hire Purchase - Hino:Less Unexpired Charges,0,
Hire Purchase - Truck (599KDM),0,
Hire Purchase - Truck (599KDM):Less Unexpired Term Charges,0,
Lease Vehicles:H/P- Hire Purchase- Mercedes,0,
Lease Vehicles:H/P- Hire Purchase- Mercedes:Less Unexpired Term Charges,0,
Lease Vehicles:H/P - Holden Colorado - Holden1,0,
Lease Vehicles:H/P - Holden Colorado - Holden1:Less Unexpired Term Charges,0,
Lease Vehicles:H/P - Isuzu Truck,0,
Lease Vehicles:H/P - Isuzu Truck:Less Unexpired Term Charges,0,
Lease Vehicles:H/P - Toyota Hilux SR5 UHI01,0,
Lease Vehicles:H/P - Toyota Hilux x 4,0,
Lease Vehicles:H/P - Toyota Hilux x 4:Less Unexpired Term Charges,0,
Lease Vehicles:H/P Holden Colorado Z71 White,0,
Lease Vehicles:H/P Holden Trailblazer Z71,0,
Lease Vehicles:H/P Holden Trailblazer Z71:Less Unexpired Term Charges,0,
Lease Vehicles:H/P HSV Senator - TRYME,0,
Lease Vehicles:H/P HSV Senator - TRYME:Less Unexpired Term Charges,0,
Lease Vehicles:H/P Jaguar F-Pace - Megs522,0,
Lease Vehicles:H/P Jaguar F-Pace - Megs522:Less Unexpired Term Charges,0,
Lease Vehicles:H/P Kia Stinger SIK21,0,
Lease Vehicles:H/P Kia Stinger SIK21:Less Unexpired Term Charges,0,
"Lease Vehicles:H/P Toyota Camry x 3, Hilux x 1",0,
"Lease Vehicles:H/P Toyota Camry x 3, Hilux x 1:Less Unexpired Loan Charges",0,
Lease Vehicles:H/P Toyota HiAce UHI07,0,
Lease Vehicles:H/P Toyota HiAce UHI07:Less Unexpired Term Charges,0,
Lease Vehicles:H/P Toyota Hilux TRD UHI01,0,
Lease Vehicles:H/P Toyota Hilux TRD UHI01:Less Unexpired Term Charges,0,
Lease Vehicles:H/P Toyota Hilux UHI08,0,
Lease Vehicles:H/P Toyota Hilux UHI08:Less Unexpired Term Charges,0,
Lease Vehicles:Hire Purchase- 2x ILoads,0,
Lease Vehicles:Hire Purchase- 2x ILoads:Less Unexpired Term Charges,0,
Lease Vehicles:Hire Purchase- Holden Colorados,0,
Lease Vehicles:Hire Purchase- Holden Colorados:HP Unexpired Charges,0,
Lease Vehicles:Hire Purchase- Jeep (MEG522),0,
Lease Vehicles:Hire Purchase- Jeep (MEG522):Less Unexpired Charges,0,
Lease Vehicles:Hire Purchase-Black Clubsport,0,
