Trans #,Type,Date,Num,Name,Source Name,Due Date,Open Balance
,,,,,,,
360916,Bill,31/05/2023,,Suntex Pty. Ltd. +,Suntex Pty. Ltd. +,30/06/2023,53222.55
363601,Bill,30/06/2023,,BP Aust,BP Aust,30/06/2023,9591.42
363939,Bill,30/06/2023,,Office of State Revenue,Office of State Revenue,30/06/2023,45192.09
363593,Bill,30/06/2023,,Intex Concepts,Intex Concepts,10/07/2023,52623.42
363595,Bill,30/06/2023,,House & Haven Australia,House & Haven Australia,10/07/2023,139.4
363590,Bill,30/06/2023,,Bunnings Building Supplies,Bunnings Building Supplies,30/07/2023,4463.72
363591,Bill,30/06/2023,,Stratco (Qld) Pty. Ltd. +,Stratco (Qld) Pty. Ltd. +,30/07/2023,122901.69
363592,Bill,30/06/2023,,Southern Cross Austereo,Southern Cross Austereo,30/07/2023,715
363594,Bill,30/06/2023,,Suntex Pty. Ltd. +,Suntex Pty. Ltd. +,30/07/2023,37528.73
363596,Bill,30/06/2023,,Office National,Office National,30/07/2023,1104.06
363597,Bill,30/06/2023,,Bradnams +,Bradnams +,30/07/2023,12380.65
363598,Bill,30/06/2023,,Stramit Building Products,Stramit Building Products,30/07/2023,1517.06
363599,Bill,30/06/2023,,Vulcan Steel,Vulcan Steel,30/07/2023,4520.17
363600,Bill,30/06/2023,,Stramit (Taurean 24864),Stramit (Taurean 24864),30/07/2023,271680.01
363792,Bill,30/06/2023,,BJ Security,BJ Security,30/07/2023,40392.53
363793,Bill,30/06/2023,,Samios Plumbing Supplies,Samios Plumbing Supplies,30/07/2023,1844.58
363794,Bill,30/06/2023,,Pacific Wholesale Distributors,Pacific Wholesale Distributors,30/07/2023,21457.85
363795,Bill,30/06/2023,,Handy Hire +,Handy Hire +,30/07/2023,1039.5
363796,Bill,30/06/2023,,Southern Cross Austereo National Tiles,Southern Cross Austereo National Tiles,30/07/2023,2032.8
363797,Bill,30/06/2023,,News Corp Australia,News Corp Australia,30/07/2023,6567.44
363798,Bill,30/06/2023,,Hervey Bay Pelican Freight,Hervey Bay Pelican Freight,30/07/2023,15302.54
363799,Bill,30/06/2023,,Fraser Coast Bolts,Fraser Coast Bolts,30/07/2023,10623.93
364483,Bill,30/06/2023,,Aluminium Speciaties,Aluminium Speciaties,30/07/2023,2301.92
364759,Bill,30/06/2023,,Byrne Bros +,Byrne Bros +,30/07/2023,1564.2
365672,Bill,30/06/2023,,Deco Line Pty Ltd,Deco Line Pty Ltd,30/07/2023,452.17
,,,,,,,721159.43
,,,,,,,
363589,Bill Pmt -Cheque,29/06/2023,Debit,Ergon Energy,Ergon Energy,,-133.22
,,,,,,,-133.22
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
166042,Bill Pmt -Cheque,02/09/2015,Debit,AirportLinkM7,AirportLinkM7,,-1
275052,Bill Pmt -Cheque,02/09/2020,Debit,Himalaya Carpets,Himalaya Carpets,,-212.17
282857,Bill Pmt -Cheque,01/12/2020,Debit,Mercedes Benz Hervey Bay,Mercedes Benz Hervey Bay,,-4631.57
282842,Bill,01/12/2020,,Mercedes Benz Hervey Bay,Mercedes Benz Hervey Bay,11/12/2020,4631.57
312202,Bill,30/06/2021,,Himalaya Carpets,Himalaya Carpets,10/07/2021,212.17
311762,Bill Pmt -Cheque,08/11/2021,Debit,Bremick Fasteners,Bremick Fasteners,,-0.13
320643,Bill Pmt -Cheque,28/02/2022,Debit,Pacific Wholesale Distributors,Pacific Wholesale Distributors,,-0.01
323616,Bill Pmt -Cheque,28/03/2022,Debit,Wide Bay Toyota,Wide Bay Toyota,,-4886.72
323614,Bill,28/03/2022,,Wide Bay Toyota,Wide Bay Toyota,07/04/2022,4886.72
324989,Bill Pmt -Cheque,11/04/2022,Debit,FBHS (Aust) Pty Ltd,FBHS (Aust) Pty Ltd,,-0.01
345616,Bill Pmt -Cheque,28/11/2022,Debit,Bunnings Building Supplies,Bunnings Building Supplies,,-0.08
,,,,,,,-1.23
,,,,,,,721024.98
