Trans #,Date,Description,Account,Name,Code,Tax Code,Split,Debit,Credit,Amount,Account Type
"363,866",07/07/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1208 · NAB Qantas Business Card,,"70,000.00","-70,000.00",Bank
"363,866",07/07/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1204 · Choices Flooring Noosaville,"70,000.00",,"70,000.00",Bank
"364,293",12/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,865.79,-865.79,Bank
"364,293",12/07/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,865.79,,865.79,Bank
"365,076",21/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"43,000.00","-43,000.00",Bank
"365,076",21/07/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"43,000.00",,"43,000.00",Bank
"365,201",24/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1206 · Long Service Leave Account,,"25,000.00","-25,000.00",Bank
"365,201",24/07/2023,Funds Transfer,1206,Long Service Leave Account,1-1206,N-T,1222 · Universal Home Improvements Acc,"25,000.00",,"25,000.00",Bank
"365,202",24/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1221 · UHI 2nd Account,,"25,000.00","-25,000.00",Bank
"365,202",24/07/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1222 · Universal Home Improvements Acc,"25,000.00",,"25,000.00",Bank
"365,293",25/07/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"65,000.00","-65,000.00",Bank
"365,293",25/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"65,000.00",,"65,000.00",Bank
